Index1,Index2,Word1,Word2,X_Position,Cosine_Similarity
[0],[0],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",0,0.2548943503
[0],[1],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",0,0.1780166641
[0],[2],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",0,0.1662623724
[0],[3],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",0,0.1683422004
[0],[4],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",0,0.152756407
[0],[5],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",0,0.1750929839
[0],[6],"the great pyramid of giza,one of the seven wonders of the ancient world,stands as a testament to the architectural prowess of the ancient egyptians.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",0,0.1550908703
[1],[0],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",107,0.1770549445
[1],[1],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",107,0.1787378852
[1],[2],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",107,0.149222222
[1],[3],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","continuous integration and continuous deployment cicd pipelines streamline the development process by incorporating automated testing at various stages.",107,0.168134021
[1],[4],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","regression testing helps detect unintended side effects of code modifications,while performance testing assesses an applications behavior under different loads.",107,0.1261916292
[1],[5],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","security testing,on the other hand,identifies vulnerabilities that could be exploited by malicious actors.",107,0.1189765665
[1],[6],"constructed during the reign of pharaoh khufu,the pyramid's design reflects meticulous planning and engineering mastery.","by integrating robust testing methodologies,software teams can enhance product quality and user satisfaction,ensuring seamless deployment in real-world environments.",107,0.1337036693
[2],[0],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","modern software development heavily relies on continuous testing to ensure the reliability and functionality of applications.",214,0.2285868116
[2],[1],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","testing strategies range from unit testing and integration testing to system testing and user acceptance testing.",214,0.2345095418
[2],[2],"theories regarding its construction methods suggest the use of ramps,pulleys,and advanced mathematical calculations.","automated testing,implemented through frameworks such as selenium and junit,enhances efficiency by executing test scripts without human intervention.",214,0.237915016
